gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000225339.4|ENSG00000225339,2760.410249,5.821572448,0.136145489,42.75993623,0,0
ENSG00000251143.1|ENSG00000251143,1022.33442,5.03325549,0.154958346,32.48134496,1.9559E-231,3.1314E-227
ENSG00000272620.2|AFAP1-AS1,1664.174607,5.582480936,0.191384231,29.16897029,4.80E-187,5.1246E-183
ENSG00000198105.16|ZNF248,2070.498676,-8.56775107,0.311544015,-27.50093297,1.71E-166,1.3697E-162
ENSG00000211451.13|GNRHR2,1233.664252,3.247591884,0.119491144,27.17851534,1.17E-162,7.4653E-159
ENSG00000248429.5|GASK1B-AS1,1043.765881,4.077829591,0.156162539,26.11272603,2.61E-150,1.3949E-146
,4656.213475,7.001609996,0.276023479,25.36599435,5.99E-142,2.7383E-138
,995.0463802,3.804005647,0.155717496,24.4288904,8.44E-132,3.3769E-128
,628.2513434,3.023424344,0.124127417,24.35742571,4.84E-131,1.7208E-127
,903.7986718,7.689333096,0.316261267,24.31323051,1.42E-130,4.3668E-127
,1113.972625,-3.25781444,0.134005847,-24.31098722,1.50E-130,4.3668E-127
,420.4514929,5.564070723,0.229465062,24.24800829,6.94E-130,1.8517E-126
,1292.510385,8.595648939,0.36217218,23.73359801,1.62E-124,3.9974E-121
,1590.61635,-8.965683299,0.38173296,-23.48679373,5.57E-122,1.2729E-118
,7447.199636,7.422386276,0.317583185,23.37147124,8.34E-121,1.7798E-117
,701.5525108,3.952671541,0.1696679,23.29651948,4.81E-120,9.6226E-117
,5719.529239,6.230771585,0.269413362,23.12718096,2.47E-118,4.6471E-115
,3151.146352,4.089566866,0.18087506,22.60989921,3.46E-113,6.1606E-110
,499.1013201,4.989897869,0.23165644,21.54007837,6.56E-103,1.1054E-99
,623.2818881,7.557666517,0.361716076,20.89391932,6.08E-97,9.7366E-94
,2618.984222,-3.377417288,0.163823856,-20.61615066,1.97E-94,2.99746E-91
,1601.992172,11.39748222,0.562402172,20.26571517,2.58E-91,3.75761E-88
,34288.94135,1.881977785,0.093445457,20.13985315,3.30E-90,4.5984E-87
,516.8332184,4.538923623,0.226575546,20.03271626,2.86E-89,3.81086E-86
,1162.036066,10.42770856,0.52074093,20.02475312,3.35E-89,4.29271E-86
,195.9200211,6.45651053,0.329521636,19.59358606,1.75E-85,2.15993E-82
,214.675496,5.892900115,0.306081862,19.25269299,1.34E-82,1.58924E-79
,474.4254157,8.993000875,0.467928442,19.21875243,2.58E-82,2.94914E-79
,1578.774124,-3.330411321,0.17392064,-19.14902868,9.86E-82,1.08874E-78
,260.9615969,4.834922511,0.254548589,18.99410455,1.91E-80,2.03656E-77
,1225.512479,3.878568477,0.205770624,18.84899017,3.00E-79,3.0935E-76
,295.4364156,-4.541284521,0.242540283,-18.72383618,3.17E-78,3.16701E-75
,1204.1261,-1.789551646,0.095726548,-18.69441317,5.50E-78,5.33378E-75
,293.7683863,3.490338473,0.187888969,18.57660129,4.97E-77,4.68044E-74
,1492.526254,5.914006036,0.318496972,18.56848434,5.78E-77,5.2888E-74
,327.001293,8.326513382,0.454007195,18.34004721,3.96E-75,3.43082E-72
,301.8734677,3.326316873,0.181365973,18.34035802,3.94E-75,3.43082E-72
,1061.32789,4.773778275,0.262295582,18.19999497,5.16E-74,4.3489E-71
,362.1858831,6.364839697,0.352369146,18.06298813,6.24E-73,5.11927E-70
,1108.978943,3.373073739,0.18730419,18.00853332,1.67E-72,1.33675E-69
,338.9385392,4.104687809,0.231657203,17.71880068,3.00E-70,2.34477E-67
,3061.587762,-2.707276215,0.15441164,-17.53285058,8.04E-69,6.13194E-66
,52776.14877,1.405858403,0.080330628,17.50090142,1.41E-68,1.05007E-65
,4055.726755,-1.669441314,0.09545039,-17.49014654,1.70E-68,1.23942E-65
,571.4736093,2.82505287,0.162211627,17.415847,6.26E-68,4.45108E-65
,877.5539036,2.397251543,0.13834891,17.32757806,2.91E-67,2.02793E-64
,947.2591094,1.946819939,0.113238145,17.19226273,3.03E-66,2.0673E-63
,260.9347254,-4.874443492,0.28442011,-17.13818158,7.70E-66,5.13785E-63
,3033.082233,-1.836845923,0.107420233,-17.0996271,1.49E-65,9.75971E-63
,2079.878237,-1.381653971,0.081438801,-16.96554903,1.48E-64,9.45922E-62
,1410.548977,5.447391458,0.323850174,16.82071492,1.72E-63,1.08029E-60
,3658.956607,1.328726266,0.079428583,16.72856557,8.12E-63,4.99802E-60
,14733.25285,-1.038871541,0.062109179,-16.72653806,8.40E-63,5.07349E-60
,3109.288246,1.508372376,0.090566851,16.65479537,2.79E-62,1.65608E-59
,837.6550746,-1.974838156,0.118588801,-16.65282175,2.89E-62,1.6805E-59
,339.9690783,5.919168999,0.355541114,16.64833901,3.11E-62,1.77887E-59
,34504.57407,3.761231924,0.226829927,16.58172698,9.45E-62,5.30697E-59
,8620.321489,-1.616325011,0.09869436,-16.37707573,2.79E-60,1.53929E-57
,316.4639806,4.562061913,0.279820367,16.30353772,9.31E-60,5.05474E-57
,907.8711967,2.172354043,0.133588169,16.26157505,1.85E-59,9.86838E-57
,144.4765354,3.547437591,0.218436769,16.24011201,2.62E-59,1.37758E-56
,12831.58876,1.54393717,0.095390924,16.1853676,6.40E-59,3.30347E-56
,5684.561831,1.094252082,0.067748716,16.15162846,1.11E-58,5.62125E-56
,323.4721798,9.094391616,0.571011807,15.92680134,4.13E-57,2.06596E-54
,23296.5727,3.411828473,0.216261132,15.77642934,4.52E-56,2.22679E-53
,5498.53787,-0.939537158,0.059635658,-15.75462043,6.38E-56,3.09718E-53
,1103.703763,-2.049662928,0.131487283,-15.58829782,8.74E-55,4.17835E-52
,15389.06519,-1.090470442,0.070279184,-15.51626508,2.69E-54,1.26793E-51
,43862.31512,2.129255109,0.137255017,15.51313141,2.83E-54,1.31207E-51
,2618.623814,-1.745365,0.112518956,-15.51174181,2.89E-54,1.32162E-51
,3207.643827,2.523236672,0.162936597,15.48600329,4.31E-54,1.94496E-51
,345.0079255,3.200212306,0.207610421,15.4145071,1.31E-53,5.81522E-51
,1377.425747,-2.234534845,0.14511432,-15.3984448,1.68E-53,7.35354E-51
,232.1964907,5.179537936,0.336581823,15.38864426,1.95E-53,8.44077E-51
,118.5473894,5.783046327,0.376173875,15.3733332,2.47E-53,1.05501E-50
,921.3261203,-1.797813076,0.116983338,-15.36811224,2.68E-53,1.1285E-50
,688.8487189,-2.865437549,0.18693917,-15.32818162,4.96E-53,2.06115E-50
,2651.631733,3.861794444,0.252388527,15.30099046,7.53E-53,3.09114E-50
,8432.993122,-1.012570754,0.066199442,-15.29575975,8.16E-53,3.3074E-50
,615.6086361,3.235317502,0.21181566,15.27421298,1.14E-52,4.54634E-50
,1780.891336,-1.963953863,0.128605079,-15.27119987,1.19E-52,4.70259E-50
,11960.71698,-1.158682665,0.075991884,-15.24745279,1.71E-52,6.68424E-50
,2459.384638,-1.524852658,0.100210907,-15.21643399,2.75E-52,1.06135E-49
