gene_id,ERR1338025,ERR1338026,ERR1338027,ERR1338028,ERR1338029,ERR1338030,ERR1338031,ERR1338032
ENSG00000285812.1|ENSG00000285812,16,14,20,4,18,14,16,22
ENSG00000272141.1|ENSG00000272141,2,10,0,0,0,0,0,0
ENSG00000205231.1|TTLL10-AS1,49,75,0,5,73,88,30,39
ENSG00000186891.14|TNFRSF18,0,0,0,0,12,0,7,16
ENSG00000160087.21|UBE2J2,889,1013,1118,310,2539,2490,2801,3142
ENSG00000127054.22|INTS11,1061,1199,1448,384,4344,3597,3595,3996
ENSG00000284372.1|MIR6808,0,1,0,0,2,1,3,2
ENSG00000223663.2|NDUFB4P8,0,0,3,2,3,5,0,1
ENSG00000235098.9|ANKRD65,120,101,123,25,540,596,272,286
ENSG00000179403.12|VWA1,739,1040,1362,406,1209,1467,1290,1425
ENSG00000078808.20|SDF4,1608,1977,1953,626,5459,5135,5208,5421
ENSG00000176022.7|B3GALT6,1151,1491,2113,520,1229,1319,1503,1483
ENSG00000184163.3|C1QTNF12,133,104,125,26,505,528,441,448
ENSG00000260179.1|ENSG00000260179,39,32,37,6,134,149,89,56
ENSG00000230415.1|LINC01786,77,94,107,60,87,118,122,168
ENSG00000162572.21|SCNN1D,554,695,934,257,808,863,1021,1242
ENSG00000131584.19|ACAP3,3148,3698,3456,870,10175,9828,11713,13975
ENSG00000278073.1|MIR6726,1,1,1,0,4,1,1,1
ENSG00000169972.13|PUSL1,388,510,428,164,414,426,704,770
ENSG00000283712.1|MIR6727,1,1,3,0,6,7,10,5
ENSG00000240731.1|ENSG00000240731,49,48,75,23,206,177,153,222
ENSG00000224051.7|CPTP,662,885,1192,327,1110,1116,1132,1285
ENSG00000169962.5|TAS1R3,28,45,82,21,83,71,62,38
ENSG00000107404.21|DVL1,1218,1458,1397,357,3229,3507,4309,4974
ENSG00000162576.17|MXRA8,801,1077,1595,380,4712,4912,2361,2335
ENSG00000175756.14|AURKAIP1,543,685,781,207,2176,2571,2476,2477
ENSG00000221978.13|CCNL2,2425,2723,3333,920,10258,8379,7054,7534
ENSG00000224870.9|MRPL20-AS1,688,802,950,217,792,850,639,780
ENSG00000242485.6|MRPL20,698,812,676,207,1584,1479,1625,1824
ENSG00000264293.2|RN7SL657P,1,1,1,1,2,1,1,1
ENSG00000272455.1|MRPL20-DT,553,595,545,214,695,666,667,834
ENSG00000225905.1|ANKRD65-AS1,9,12,46,8,33,12,15,22
ENSG00000205116.4|TMEM88B,125,140,202,47,318,311,187,243
ENSG00000225285.1|LINC01770,5,11,14,5,17,21,24,12
ENSG00000160072.20|ATAD3B,918,1181,1419,490,1070,1069,1333,1610
ENSG00000284740.3|ENSG00000284740,0,0,0,0,4,6,3,0
ENSG00000274481.1|ENSG00000274481,0,0,0,0,0,0,0,0
ENSG00000197530.13|MIB2,2401,3073,3581,1009,3491,3083,3387,3693
ENSG00000248333.9|CDK11B,987,1071,1326,405,2926,2527,3234,3527
ENSG00000008128.23|CDK11A,118,204,436,128,1291,1094,1322,551
ENSG00000227775.3|ENSG00000227775,18,24,28,14,3,1,5,4
ENSG00000008130.15|NADK,923,1012,1270,322,2770,2615,2794,3026
ENSG00000078369.19|GNB1,13810,15635,13977,4257,40865,37952,39304,45306
ENSG00000215915.10|ATAD3C,45,29,164,37,131,98,203,175
ENSG00000290916.1|ENSG00000290916,17,21,29,11,64,35,39,24
ENSG00000197785.14|ATAD3A,791,958,1283,324,1169,1034,1232,1172
ENSG00000205090.10|TMEM240,285,342,288,77,580,680,866,899
ENSG00000160075.12|SSU72,1511,1697,1845,565,5564,5144,5985,6814
ENSG00000215014.5|ENSG00000215014,7,29,32,13,45,19,48,61
ENSG00000228594.4|FNDC10,131,175,253,55,404,321,640,700
ENSG00000286989.1|ENSG00000286989,87,67,83,19,45,47,170,196
ENSG00000272106.1|ENSG00000272106,700,763,772,239,1647,1690,1858,1892
ENSG00000189409.14|MMP23B,46,72,116,25,105,63,136,94
ENSG00000272004.1|ENSG00000272004,56,47,79,98,0,3,0,0
ENSG00000189339.12|SLC35E2B,6028,6680,6846,2000,13182,11792,14088,15733
ENSG00000269737.2|ENSG00000269737,260,225,291,120,497,339,328,475
ENSG00000215914.4|MMP23A,40,78,114,30,90,50,88,91
ENSG00000268575.1|ENSG00000268575,1010,1038,1051,376,2646,2098,2154,3400
ENSG00000290854.1|ENSG00000290854,263,443,814,244,1776,1540,1777,1754
ENSG00000215790.9|SLC35E2A,95,0,84,10,0,116,133,243
ENSG00000231050.3|GNB1-DT,19,32,57,20,45,29,77,68
ENSG00000169885.10|CALML6,0,0,0,0,10,14,4,0
ENSG00000178821.13|TMEM52,12,18,26,6,150,75,99,106
ENSG00000142609.20|CFAP74,38,32,93,39,114,80,53,86
ENSG00000187730.9|GABRD,15,11,13,8,206,177,47,38
ENSG00000182873.5|PRKCZ-AS1,79,141,198,65,345,210,398,553
ENSG00000067606.17|PRKCZ,3924,4728,4902,1466,3457,3083,4275,4724
ENSG00000271806.1|ENSG00000271806,9,5,14,1,32,20,48,41
ENSG00000162585.17|FAAP20,392,449,605,155,1171,1455,1209,1372
ENSG00000234396.3|ENSG00000234396,3,0,7,0,6,0,2,0
ENSG00000287356.1|ENSG00000287356,194,229,412,108,326,326,266,297
ENSG00000272161.1|ENSG00000272161,0,4,1,0,8,0,6,8
ENSG00000116151.14|MORN1,171,190,289,77,663,554,406,415
ENSG00000157916.20|RER1,4026,4865,5358,1667,4636,4271,4350,4673
ENSG00000157911.11|PEX10,439,547,459,149,1213,1252,1251,1404
ENSG00000157933.11|SKI,4515,5350,5791,1770,5609,5218,5324,5931
ENSG00000269896.2|ENSG00000269896,28,24,28,16,84,80,46,68
ENSG00000272420.1|ENSG00000272420,21,19,16,3,41,41,19,27
ENSG00000149527.18|PLCH2,718,947,698,220,1289,1301,952,1135
ENSG00000224387.1|ENSG00000224387,0,0,2,0,4,4,2,3
ENSG00000157881.16|PANK4,440,479,425,132,1517,1623,1465,1629
ENSG00000229393.1|ENSG00000229393,2,0,0,0,8,9,2,5
ENSG00000197921.6|HES5,6,4,4,0,15,12,13,12
ENSG00000272449.3|ENSG00000272449,32,29,27,7,31,45,44,55
ENSG00000238164.6|TNFRSF14-AS1,6,16,22,3,44,61,60,84
ENSG00000157873.18|TNFRSF14,11,34,28,14,60,63,40,43
ENSG00000225931.3|ENSG00000225931,0,1,2,0,5,9,2,4
ENSG00000228037.1|ENSG00000228037,0,4,4,0,0,10,4,3
ENSG00000289610.2|ENSG00000289610,0,0,0,1,2,0,2,1
ENSG00000157870.17|PRXL2B,1366,1798,1417,355,1365,1487,1753,1956
ENSG00000142606.16|MMEL1,9,10,4,2,376,457,433,591
ENSG00000237058.1|MMEL1-AS1,0,0,0,0,61,43,29,38
ENSG00000177133.14|PRDM16-DT,8,8,0,0,30,29,41,17
ENSG00000142611.17|PRDM16,133,116,193,71,196,146,107,125
ENSG00000283572.1|MIR4251,0,0,0,0,0,0,0,0
ENSG00000226286.1|ENSG00000226286,0,0,0,0,2,0,0,0
ENSG00000279839.1|ENSG00000279839,0,0,0,0,1,0,0,0
ENSG00000272235.1|ENSG00000272235,0,2,2,0,0,0,0,0
ENSG00000286518.1|ENSG00000286518,0,0,0,0,0,0,0,0
ENSG00000130762.15|ARHGEF16,129,168,149,35,345,282,249,262
ENSG00000272088.1|ENSG00000272088,0,2,3,0,4,7,1,4
ENSG00000162591.17|MEGF6,662,786,951,208,3161,3332,2879,3025
ENSG00000207776.1|MIR551A,0,0,0,0,0,0,2,0
ENSG00000287828.1|ENSG00000287828,2,2,2,3,0,2,5,0
ENSG00000238260.3|ENSG00000238260,13,9,35,0,59,42,68,75
ENSG00000158109.15|TPRG1L,2286,2794,2754,850,4213,3309,2940,3178
ENSG00000078900.15|TP73,145,144,141,34,110,85,151,178
ENSG00000227589.1|TP73-AS3,0,0,0,0,3,0,0,0
ENSG00000235131.1|TP73-AS2,0,0,0,0,0,0,0,0
ENSG00000116198.14|CEP104,934,1030,1112,312,3436,2953,2910,3485
ENSG00000169598.17|DFFB,218,289,312,102,471,422,359,452
ENSG00000198912.12|C1orf174,296,300,329,122,1325,912,1324,1468
ENSG00000116213.16|WRAP73,291,303,297,73,755,603,683,745
ENSG00000227372.12|TP73-AS1,887,1073,1151,302,2629,2329,2747,3168
ENSG00000276189.1|ENSG00000276189,8,6,5,2,0,0,0,0
ENSG00000162592.10|CCDC27,26,8,24,0,28,27,18,13
ENSG00000235169.11|SMIM1,75,115,172,45,155,158,116,121
