gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000224864.4|ENSG00000224864,25.07179541,23.4959516,2.973738383,7.901149521,2.76E-15,4.89E-11
ENSG00000125740.15|FOSB,1379.277105,-2.424631756,0.453618567,-5.34508932,9.04E-08,0.000800022
ENSG00000239839.7|DEFA3,3967.346875,2.93289841,0.594804683,4.930859648,8.19E-07,0.004831608
ENSG00000123080.12|CDKN2C,138.3001741,0.835792428,0.178592559,4.679883837,2.87E-06,0.005646666
ENSG00000110203.10|FOLR3,350.2350349,2.382478911,0.508765958,4.682858346,2.83E-06,0.005646666
ENSG00000144668.12|ITGA9,50.13474372,1.183270861,0.251423888,4.706278594,2.52E-06,0.005646666
,4618.462342,2.795894129,0.596682579,4.685731119,2.79E-06,0.005646666
,3534.423379,2.844793938,0.594544057,4.784832858,1.71E-06,0.005646666
,182.4172281,3.400098045,0.715992022,4.748793197,2.05E-06,0.005646666
,355.7112844,3.052676712,0.657087961,4.645765699,3.39E-06,0.005998762
,84.62517071,2.533394171,0.564259687,4.489766376,7.13E-06,0.011476273
,2289.009782,0.662246799,0.148226127,4.467814212,7.90E-06,0.011659169
,3547.188144,2.079374047,0.467736871,4.445606444,8.76E-06,0.011936475
,947.7707575,0.626328854,0.142200049,4.404561462,1.06E-05,0.013404972
,578.0564004,1.820454405,0.417279063,4.362678516,1.28E-05,0.014217079
,81184.31034,0.391691263,0.089771247,4.363215128,1.28E-05,0.014217079
,189.5464457,0.512961061,0.118419338,4.331733907,1.48E-05,0.015407481
,467.0791246,0.767081267,0.180291024,4.254683616,2.09E-05,0.019507631
,837.6600276,0.548024415,0.12855638,4.26291106,2.02E-05,0.019507631
,76.72145826,-0.609482352,0.144444358,-4.21949573,2.45E-05,0.020552687
,786.7912672,0.441467077,0.104486736,4.225101595,2.39E-05,0.020552687
,431.1572967,0.556707304,0.13240451,4.20459474,2.62E-05,0.020552687
,33.95139694,1.837541227,0.437516743,4.199933499,2.67E-05,0.020552687
,66.09373211,1.055398567,0.258742961,4.078946002,4.52E-05,0.025838073
,638.2054639,0.324561246,0.079156816,4.100231186,4.13E-05,0.025838073
,445.7637469,0.540445108,0.130751471,4.133376893,3.57E-05,0.025838073
,1125.564574,0.600310801,0.146116373,4.108443083,3.98E-05,0.025838073
,130.3503583,0.868711748,0.210893403,4.119198298,3.80E-05,0.025838073
,16.1679068,1.452450128,0.353112111,4.11328324,3.90E-05,0.025838073
,32.85050204,-1.654397857,0.405374288,-4.081161301,4.48E-05,0.025838073
,19246.21505,0.510042971,0.124693416,4.090376116,4.31E-05,0.025838073
,487.4144293,0.405654266,0.100114786,4.051891648,5.08E-05,0.028109561
,201.7573677,1.511414387,0.373774051,4.043657883,5.26E-05,0.028233408
,381.2427489,0.529875788,0.131528242,4.028608445,5.61E-05,0.028382621
,726.4810525,0.540984768,0.13418953,4.031497593,5.54E-05,0.028382621
,155.2505769,0.508073791,0.126779232,4.007547489,6.14E-05,0.030173514
,110.8760735,2.088057004,0.523249517,3.990556967,6.59E-05,0.031542804
,59.72540553,-1.116966665,0.281382732,-3.969563648,7.20E-05,0.033548353
,872.6075968,2.115330655,0.53410151,3.960540491,7.48E-05,0.033948344
,95.73508759,1.886773616,0.477664536,3.949997271,7.82E-05,0.034592066
,3775.355516,2.31044573,0.587084996,3.935453546,8.30E-05,0.035858984
,174.5897291,-0.541759192,0.138010469,-3.925493452,8.66E-05,0.036485842
,1150.88928,-0.968096531,0.247422506,-3.912726234,9.13E-05,0.037575764
